image_id,crop_type,disease_name,status,file_size_kb,width,height,brightness,blurriness_score
IMG_0001,Cherry,Healthy,Healthy,4220.99,256,256,13.65,7.16
IMG_0002,Pepper,Bell_Bacterial_Spot,Diseased,1627.56,1024,1024,111.44,20.13
IMG_0003,Pepper,Bell_Bacterial_Spot,Diseased,810.03,256,256,92.91,40.45
IMG_0004,Apple,Healthy,Healthy,1275.08,1024,1024,152.9,39.94
IMG_0005,Potato,Late_Blight,Diseased,1259.74,256,256,93.23,11.75
IMG_0006,Tomato,Early_Blight,Diseased,1383.32,256,256,119.26,20.22
IMG_0007,Potato,Early_Blight,Diseased,628.67,1024,1024,120.94,46.79
IMG_0008,Peach,Bacterial_Spot,Diseased,1082.44,256,256,138.86,26.49
IMG_0009,Strawberry,Leaf_Scorch,Diseased,1732.85,512,512,100.72,16.16
IMG_0010,Cherry,Powdery_Mildew,Diseased,1855.1,256,256,82.21,29.67
IMG_0011,Apple,Rust,Diseased,1471.2,256,256,153.42,83.69
IMG_0012,Cherry,Powdery_Mildew,Diseased,1901.41,256,256,80.51,11.6
IMG_0013,Cherry,Powdery_Mildew,Diseased,1536.7,1024,1024,111.08,22.99
IMG_0014,Cherry,Powdery_Mildew,Diseased,704.97,256,256,146.18,15.57
IMG_0015,Grape,Healthy,Healthy,1362.37,256,256,147.06,62.16
IMG_0016,Strawberry,Healthy,Healthy,1800.31,256,256,91.71,43.16
IMG_0017,Tomato,Healthy,Healthy,1137.21,256,256,116.76,13.35
IMG_0018,Grape,Healthy,Healthy,1173.06,256,256,106.46,11.88
IMG_0019,Tomato,Early_Blight,Diseased,1236.33,256,256,116.0,43.61
IMG_0020,Pepper,Healthy,Healthy,1501.57,256,256,94.99,91.26
IMG_0021,Corn,Healthy,Healthy,1481.84,512,512,109.51,69.51
IMG_0022,Apple,Healthy,Healthy,1586.77,256,256,154.39,15.06
IMG_0023,Strawberry,Leaf_Scorch,Diseased,1671.21,512,512,145.59,48.98
IMG_0024,Apple,Healthy,Healthy,512.12,256,256,141.37,23.84
IMG_0025,Corn,Common_Rust,Diseased,1441.22,256,256,163.17,35.92
IMG_0026,Tomato,Healthy,Healthy,1572.25,1024,1024,149.46,33.28
IMG_0027,Strawberry,Leaf_Scorch,Diseased,1442.8,256,256,112.91,44.05
IMG_0028,Grape,Healthy,Healthy,726.17,256,256,150.92,14.92
IMG_0029,Apple,Rust,Diseased,1144.19,1024,1024,151.87,89.19
IMG_0030,Tomato,Healthy,Healthy,,256,256,126.84,11.23
IMG_0031,Tomato,Late_Blight,Diseased,1495.37,256,256,163.95,30.08
IMG_0032,Corn,Common_Rust,Diseased,1576.24,1024,1024,121.05,105.24
IMG_0033,Apple,Rust,Diseased,1784.04,256,256,97.89,240.53
IMG_0034,Potato,Healthy,Healthy,1536.99,256,256,159.97,70.61
IMG_0035,Cherry,Powdery_Mildew,Diseased,1233.22,256,256,90.66,59.43
IMG_0036,Grape,Black_Rot,Diseased,823.27,256,256,91.02,11.4
IMG_0037,Potato,Early_Blight,Diseased,2255.82,256,256,152.07,108.45
IMG_0038,Tomato,Early_Blight,Diseased,1229.68,512,512,90.85,83.48
IMG_0039,Corn,Common_Rust,Diseased,2455.61,256,256,169.76,29.5
IMG_0040,Tomato,Healthy,Healthy,2237.37,256,256,110.98,14.22
IMG_0041,Strawberry,Healthy,Healthy,1019.88,256,256,121.2,63.97
IMG_0042,Corn,Common_Rust,Diseased,1366.2,1024,1024,139.26,37.2
IMG_0043,Apple,Black_Rot,Diseased,1364.25,256,256,100.31,19.64
IMG_0044,Corn,Common_Rust,Diseased,1173.89,256,256,128.85,158.94
IMG_0045,Grape,Healthy,Healthy,1500.73,256,256,146.02,154.35
IMG_0046,Grape,Healthy,Healthy,1802.37,256,256,102.87,95.92
IMG_0047,Apple,Black_Rot,Diseased,1612.4,256,256,137.76,94.23
IMG_0048,Strawberry,Leaf_Scorch,Diseased,1250.92,256,256,146.68,76.41
IMG_0049,Corn,Common_Rust,Diseased,1168.4,512,512,172.72,33.26
IMG_0050,Cherry,Healthy,Healthy,1275.93,256,256,167.66,79.49
IMG_0051,Strawberry,Leaf_Scorch,Diseased,2022.19,256,256,125.24,127.9
IMG_0052,Strawberry,Leaf_Scorch,Diseased,1508.4,1024,1024,129.91,14.35
IMG_0053,Corn,Common_Rust,Diseased,1949.42,256,256,158.42,143.63
IMG_0054,Cherry,Healthy,Healthy,2357.28,256,256,149.9,16.23
IMG_0055,Strawberry,Healthy,Healthy,1536.03,512,512,99.12,121.23
IMG_0056,Potato,Late_Blight,Diseased,1533.09,256,256,124.85,116.16
IMG_0057,Tomato,Healthy,Healthy,,256,256,129.62,71.05
IMG_0058,Apple,Healthy,Healthy,1830.48,256,256,108.55,77.54
IMG_0059,Peach,Bacterial_Spot,Diseased,1721.88,256,256,106.36,14.33
IMG_0060,Tomato,Early_Blight,Diseased,1793.27,256,256,173.37,29.48
IMG_0061,Pepper,Bell_Bacterial_Spot,Diseased,1689.45,256,256,143.86,59.38
IMG_0062,Pepper,Bell_Bacterial_Spot,Diseased,1521.74,1024,1024,95.72,120.48
IMG_0063,Peach,Healthy,Healthy,1105.11,256,256,96.53,32.34
IMG_0064,Grape,Healthy,Healthy,1303.53,256,256,88.36,56.16
IMG_0065,Apple,Black_Rot,Diseased,1450.88,256,256,113.64,50.1
IMG_0066,Corn,Common_Rust,Diseased,,256,256,139.84,33.64
IMG_0067,Strawberry,Healthy,Healthy,1603.47,256,256,72.42,13.92
IMG_0068,Tomato,Late_Blight,Diseased,1993.01,1024,1024,151.37,154.81
IMG_0069,,Black_Rot,Diseased,1204.15,256,256,98.11,80.73
IMG_0070,Potato,Healthy,Healthy,1240.3,256,256,136.09,46.72
IMG_0071,Tomato,Early_Blight,Diseased,,256,256,144.84,91.75
IMG_0072,Cherry,Healthy,Healthy,2036.84,256,256,153.1,50.46
IMG_0073,Apple,Healthy,Healthy,1644.07,256,256,125.29,69.81
IMG_0074,Grape,Healthy,Healthy,2187.44,1024,1024,105.19,205.68
IMG_0075,Corn,Healthy,Healthy,1949.07,256,256,74.99,18.24
IMG_0076,Pepper,Healthy,Healthy,923.52,256,256,105.29,42.12
IMG_0077,Potato,Late_Blight,Diseased,1287.9,256,256,79.03,21.55
IMG_0078,Potato,Late_Blight,Diseased,1182.85,256,256,100.46,59.43
IMG_0079,Peach,Healthy,Healthy,1348.38,256,256,108.29,224.36
IMG_0080,Peach,Healthy,Healthy,1076.17,256,256,139.72,13.22
IMG_0081,Peach,Bacterial_Spot,Diseased,1730.62,256,256,95.07,48.03
IMG_0082,Strawberry,Leaf_Scorch,Diseased,1624.5,256,256,88.61,29.84
IMG_0083,Strawberry,Leaf_Scorch,Diseased,1360.09,256,256,129.74,76.75
IMG_0084,Peach,Healthy,Healthy,655.72,256,256,91.77,61.91
IMG_0085,Potato,Healthy,Healthy,940.57,256,256,87.33,20.32
IMG_0086,Peach,Bacterial_Spot,Diseased,1725.19,512,512,72.74,304.91
IMG_0087,Pepper,Healthy,Healthy,1818.99,256,256,145.02,95.98
IMG_0088,Potato,Healthy,Healthy,1558.08,256,256,145.69,182.09
IMG_0089,Grape,Black_Rot,Diseased,1756.23,256,256,147.77,45.27
IMG_0090,Grape,Black_Rot,Diseased,1174.09,256,256,89.99,13.27
IMG_0091,Potato,Late_Blight,Diseased,1266.97,256,256,75.54,56.58
IMG_0092,Apple,Rust,Diseased,1604.36,256,256,,145.11
IMG_0093,Strawberry,Healthy,Healthy,1695.22,512,512,129.25,18.94
IMG_0094,Corn,Common_Rust,Diseased,2132.05,512,512,130.87,114.86
IMG_0095,Strawberry,Healthy,Healthy,1399.95,256,256,110.96,44.93
IMG_0096,Strawberry,Leaf_Scorch,Diseased,2020.42,512,512,128.37,58.94
IMG_0097,Apple,Rust,Diseased,1566.08,256,256,134.38,48.12
IMG_0098,Cherry,Powdery_Mildew,Diseased,1727.57,512,512,93.4,78.12
IMG_0099,Grape,Healthy,Healthy,1479.3,512,512,110.29,40.53
IMG_0100,Grape,Healthy,Healthy,,256,256,123.83,83.89
IMG_0101,Apple,Healthy,Healthy,8729.86,256,256,170.22,22.9
IMG_0102,Cherry,Powdery_Mildew,Diseased,1706.81,256,256,155.83,15.31
IMG_0103,Tomato,Healthy,Healthy,1757.34,256,256,156.89,62.69
IMG_0104,Tomato,Healthy,Healthy,2125.88,256,256,145.0,139.89
IMG_0105,Cherry,Powdery_Mildew,Diseased,2515.48,256,256,98.38,10.23
IMG_0106,Strawberry,Leaf_Scorch,Diseased,1709.58,256,256,156.03,31.31
